country_name,birth_rate,death_rate,natural_increase,continents,Rough
Nauru,23.2,5.9,17.3,Oceania,
Nepal,19.1,5.6,13.5,Asia,
Netherlands,10.9,9,1.9,Europe,
New Caledonia,14.8,5.7,9.1,Oceania,
New Zealand,13.1,7.6,5.5,Oceania,
Nicaragua,17.5,5.2,12.3,North America,
Niger,43.6,11.5,32.1,Africa,
Nigeria,35.2,9.6,25.6,South America,
Northern Mariana Islands,14.9,4.9,10,Oceania,
Norway,12.2,8,4.2,Europe,
Oman,23.7,3.3,20.4,Asia,
Pakistan,21.6,6.3,15.3,Asia,
Palau,11.3,8.2,3.1,Oceania,
Panama,17.6,5,12.6,North America,
Papua New Guniea,23.3,6.6,16.7,Oceania,
Paraguay,16.6,4.8,11.8,South America,
Peru,17.6,6.1,11.5,South America,
Philippines,23.4,6.1,17.3,Asia,
Poland,9.3,10.5,-1.2,Europe,
Portugal,8.2,10.6,-2.4,Europe/Africa,
Puerto Rico,8,8.9,-0.9,North America,
Qatar,9.5,1.6,7.9,Asia,
Romania,8.7,12,-3.3,Europe,
Russia,10.7,13.4,-2.7,Europe/Asia,
Rwanda,29.8,6.3,23.5,Africa,
Saint Helen,9.4,8,1.4,Africa,
Saint Kitts,13,7.2,5.8,North America,
Saint Lucia,13.1,7.8,5.3,North America,
Saint Pierr,7,10.2,-3.2,North America,
Saint Vince,13,7.4,5.6,North America,
Samoa,20.2,5.4,14.8,Oceania,
San Marino,8.6,8.8,-0.2,Europe,
Sao Tome and Principe,31.5,6.7,24.8,Africa,
Saudi Arabia,15.6,3.3,12.3,Asia,
Senegal,32.9,7.9,25,Africa,
Serbia,8.9,13.6,-4.7,Europe,
Seychelles,13.4,7,6.4,Africa,
Sierra Leon,36,10.2,25.8,Africa,
Singapore,8.7,3.5,5.2,Asia,
Saint Maarte,13.1,5.4,7.7,North America,
Slovakia,9.6,9.9,-0.3,Europe,
Slovenia,9.2,9.9,-0.7,Europe,
Solomon Islands,24.5,3.8,20.7,Oceania,
Somalia,39.3,12.8,26.5,Africa,
South Africa,19.9,9.3,10.6,Africa,
South Sudan,36.9,19.3,17.6,Africa,
Spain,9,9.2,-0.2,Europe/Africa,
Sri Lanka,14.8,6.3,8.5,Asia,
Sudan,34.2,6.7,27.5,Africa,
SuriName,15.6,6.1,9.5,South America,
Sweden,12.1,9.4,2.7,Europe,
Switzerland,10.5,8.4,2.1,Europe,
Syria,20.7,4,16.7,Asia,
Taiwan,8.2,7.6,0.6,Asia,
Tajikistan,22.8,5.9,16.9,Asia,
Tanzania,35.3,7.5,27.8,Africa,
Thailand,11,8.1,2.9,Asia,
Timor Leste,32.9,5.8,27.1,Asia,
Togo,32.8,6.8,26,Africa,
Tonga,21.8,4.9,16.9,Oceania,
Trinidad and Tobago,12.3,8.9,3.4,South America,
Tunisia,17.4,6.4,11,Africa,
Turkey,15.4,6,9.4,Europe/Asia,
Turkmenistan,18.9,6.1,12.8,Asia,
Turks and Caicos,14.9,3.3,11.6,North America,
Tuvalu,23.7,8.4,15.3,Oceania,
Uganda,42.4,9.9,32.5,Africa,
Ukraine,10.1,14.3,-4.2,Europe,
United Arab Emirates,9.8,1.7,8.1,Asia,
United Kingdom,12,9.4,2.6,Europe,
United States,12.4,8.2,4.2,North America,
Uruguay,13,9.4,3.6,South America,
Uzbekistan,16.6,5.4,11.2,Asia,
Vanuatu,23.5,4,19.5,Oceania,
Venezuela,18.5,5.3,13.2,South America,
Vietnam    ,15.2,5.9,9.3,Asia,
Virgin Islands,12.5,8.1,4.4,North America,
Wallis and Futuna,13,5.5,7.5,Oceania,
West Bank,26,3.5,22.5,Asia,
Western Sahara,28.9,7.9,21,Africa,
Yemen,27.6,5.9,21.7,Asia,
Zambia,41.1,12,29.1,Africa,
Zimbabwe,34,9.9,24.1,Africa,
